Customer_ID,Date,Product,Price,Product Category ,Location
Laryssa,7/11/2024,Crispy Rice Treats,3.5,Food - Snacks,165.57.25.238
Nial,2/19/2025,Compact Dishwasher,299.99,Home Appliances,251.18.136.20
Wilmer,7/5/2025,Sea Salt Caramel Brownie,2.49,Food - Bakery,77.44.212.68
Brianne,10/10/2024,Cauliflower Rice Stir-Fry,4.99,Food - Frozen Foods,242.233.230.200
Jack,9/13/2024,Baked Falafel Balls,5.99,Food - Frozen Vegetables,99.73.199.158
Jamima,6/29/2025,Graphic Print Leggings,29.99,Clothing - Activewear,165.220.74.184
Petey,2/6/2025,Beef Stroganoff Meal Kit,12.99,Food - Frozen Meals,244.101.174.167
Granny,8/28/2024,Coconut Chia Seed Pudding,2.99,Food - Snacks,58.148.232.218
Ewen,8/27/2024,Fishing Rod,49.99,Outdoor,113.202.231.6
Bunni,9/24/2024,Trainers with Mesh Inserts,69.99,Clothing - Footwear,49.39.22.251
Maximilianus,5/12/2025,Chipotle Seasoning Blend,2.49,Food - Spices,47.23.50.201
Earvin,10/19/2024,Classic Baseball Cap,24.99,Clothing - Accessories,14.152.200.45
Jenna,9/19/2024,Portable Pet Bathing Tool,29.99,Pets,111.9.38.19
Kristina,4/29/2025,Almond Crunch Granola Bars,3.49,Food - Snacks,229.138.223.18
Mersey,4/15/2025,Artisan Bread,4.59,Food - Bakery,71.115.18.9
Egan,6/28/2025,Grass Fed Beef Patties,9.99,Food - Meat,221.144.26.207
Eudora,9/10/2024,Savory Mushroom Risotto,6.49,Food - Gourmet Rice,205.129.254.213
Dorotea,5/5/2025,Manual Coffee Grinder,22.99,Kitchen,6.20.249.211
Karrie,11/1/2024,Indoor Grill,59.99,Kitchen,230.189.55.81
Waylin,8/20/2024,Oven-Baked Cheese Crisps,3.99,Food - Snacks,36.229.6.251
Anatol,5/9/2025,Cordless Electric Screwdriver,39.99,Tools,111.31.124.51
Hubey,10/22/2024,Digital Kitchen Timer,14.99,Kitchen,92.169.41.99
Rockwell,5/11/2025,Kids' Art Supplies Kit,29.99,Toys,64.107.115.152
Eartha,8/11/2024,Puzzle Game Set,34.99,Toys,144.171.224.229
Tore,1/10/2025,Sliced Avocado,2.79,Food - Produce,246.132.48.89
Gary,6/19/2025,Wall Planner,19.99,Office,196.156.249.215
Veronike,10/15/2024,Sweet Cherry Tomatoes,2.99,Food - Produce,175.252.31.34
Alyce,12/25/2024,Frozen Berry Blend,4.99,Food - Frozen Foods,60.147.102.138
Lowe,11/16/2024,Sriracha Sauce,3.19,Food - Condiments,150.9.10.140
Tamarah,6/14/2025,Cocoa Powder,3.99,Food - Baking,187.94.247.19
Yelena,6/30/2025,Coconut Chia Pudding,3.49,Food - Dairy,208.90.1.70
Dre,10/31/2024,Creamy Garlic Mashed Potatoes,3.99,Food - Sides,47.121.217.221
Giacomo,8/8/2024,Chili Lime Corn Chips,2.79,Food - Snacks,132.255.201.180
Reggi,2/26/2025,Spicy Garlic Edamame,3.99,Food - Snacks,109.125.137.131
Peadar,6/27/2025,Car Emergency Kit,49.99,Automotive,251.189.253.143
Maddi,1/10/2025,Sweet Potatoes (organic),1.99,Food - Vegetables,69.176.75.73
Lynnelle,9/15/2024,Bamboo Utensil Holder,14.99,Kitchen,92.199.192.174
Netty,9/30/2024,Ski Goggles,49.99,Sports,222.6.195.120
Alvina,10/23/2024,Travel Laundry Bag,9.99,Travel,26.73.99.209
May,12/14/2024,Outdoor Inflatable Pool,149.99,Outdoor,181.95.174.133
Con,4/1/2025,Wall-Mounted Organizer,34.99,Home,11.19.248.216
Amata,5/8/2025,Brown Rice,1.79,Food - Grains,67.38.200.253
Kingsley,4/28/2025,Vegetable Spring Rolls,6.49,Food - Frozen Foods,6.31.230.165
Abigale,1/6/2025,Dark Chocolate Bars,2.99,Food - Snacks,13.142.199.94
Theodosia,4/24/2025,Frozen Fruit Medley,5.99,Food - Frozen Foods,217.62.147.1
Madelene,3/20/2025,Bluetooth Headphones,79.99,Audio,125.170.27.165
Gerri,7/2/2025,Wireless Gaming Headset,89.99,Gaming,217.223.118.11
Randy,3/22/2025,Vegetable Lentil Soup,3.49,Food - Canned Goods,254.15.141.197
Gregorio,12/2/2024,Bluetooth Shower Speaker,24.99,Audio,18.63.187.68
Melonie,4/24/2025,Pet Hair Removal Roller,10.99,Pets,64.212.20.17
Hilary,7/31/2024,Mechanical Keyboard,99.99,Computers,125.160.199.229
Aubrie,8/25/2024,Foldable Picnic Table,49.99,Outdoor,143.58.145.198
Markos,4/22/2025,Sports Water Bottle with Infuser,19.99,Fitness,109.62.114.70
Karry,9/2/2024,Fall-Themed Table Runner,19.99,Home,192.173.111.122
Pier,5/20/2025,Magnetic Phone Case,19.99,Accessories,199.145.28.99
Georgianne,3/19/2025,Cereal Dispenser with Portion Control,24.99,Kitchen,159.175.201.210
Jamill,4/18/2025,Fashionable Fanny Pack,24.99,Clothing - Accessories,43.239.71.90
Ashby,5/25/2025,Italian Meatballs,8.49,Food - Meat,16.218.94.217
Estevan,2/16/2025,Elderberry Syrup Kit,22.99,Health,185.62.205.205
Derick,10/4/2024,Veggie Lovers Pizza,8.99,Food - Frozen Foods,152.207.18.105
Moyna,10/2/2024,Reusable Produce Bags Set,14.99,Kitchen,88.1.229.198
Sanders,12/12/2024,Natural Soy Candles,19.99,Home,12.50.171.56
Fabien,2/3/2025,Compressible Packing Cubes,29.99,Travel,5.192.135.119
Pip,12/12/2024,Herbal Tea Variety Pack,4.99,Food - Beverages,190.164.207.22
Adoree,6/20/2025,Pet Tracking Collar,59.99,Pets,253.74.20.194
Jeth,10/6/2024,Fashionable Belt Bag,34.99,Accessories,210.255.185.78
Farlee,9/5/2024,Thermostatic Shower Valve Kit,39.99,Bathroom,232.32.36.121
Nelia,9/27/2024,Set of Gardening Gloves with Claws,15.99,Garden,253.48.70.147
Tommie,2/15/2025,Travel Mug,18.99,Kitchen,144.47.116.244
Zuzana,2/5/2025,Lemon Dill Salmon,9.99,Food - Seafood,236.7.62.230
Peri,9/2/2024,Berry Smoothie Mix,4.99,Food - Frozen Foods,74.136.220.123
Nolana,4/5/2025,Bike Helmet,34.99,Bicycles,101.1.115.68
Brew,11/6/2024,Peach Preserves,3.79,Food - Condiments,163.178.31.83
Skipton,11/1/2024,Honey Glazed Carrots,3.49,Food - Produce,254.56.40.112
Darci,10/23/2024,Beef Chili,4.5,Food - Canned Goods,240.154.1.222
Abba,9/15/2024,Drone,249.99,Electronics,204.206.78.6
Katee,7/22/2024,Dark Chocolate Bars,2.99,Food - Snacks,123.106.254.138
Marwin,12/29/2024,Chickpea Pancakes,4.99,Food - Frozen,213.98.217.144
Peirce,12/12/2024,Sweet Cherry Tomatoes,2.99,Food - Produce,231.170.163.126
Giuseppe,5/23/2025,Athletic Jogging Jacket,49.99,Clothing - Outerwear,95.232.49.126
Mariele,10/24/2024,Organic Baby Spinach,2.99,Food - Produce,160.41.16.163
Stesha,12/30/2024,Automatic Pet Feeder,69.99,Pets,151.33.50.93
Dalila,11/3/2024,Ice Pack,8.99,Health,185.124.146.137
Haroun,6/14/2025,Field Journal,14.99,Books,197.226.105.160
Bride,3/25/2025,Chocolate Chip Muffins,3.99,Food - Bakery,210.61.227.119
Fredericka,6/17/2025,Outdoor Inflatable Pool,149.99,Outdoor,38.99.54.234
Etheline,12/6/2024,Kids' Learning Tablet,129.99,Electronics,125.253.222.148
Wain,5/8/2025,Baby Safety Corner Guards,9.99,Baby,125.246.243.124
Michail,10/7/2024,Spicy Tuna Salad,4.49,Food - Seafood,249.49.192.26
Karlene,2/26/2025,Organic Honeycrisp Apples,1.99,Food - Fruits,170.63.207.4
Goldia,3/17/2025,Honey Garlic Shrimp,8.49,Food - Seafood,72.225.31.211
Hagan,7/13/2024,Mango Chia Pudding,4.49,Food - Snacks,230.35.184.250
Marcelline,11/8/2024,Garden Kneeler and Seat,39.99,Garden,137.175.125.215
Sauveur,1/22/2025,Stainless Steel Cutlery Set,29.99,Kitchen,170.60.199.221
Marybeth,11/21/2024,Pet Food Storage Container,24.99,Pets,205.196.167.142
Tye,6/17/2025,Siphon Coffee Maker,49.99,Kitchen,144.238.32.180
Filide,10/18/2024,Dill Pickle Chips,2.29,Food - Condiments,69.98.24.213
Othilia,2/11/2025,LED Flashlight with Rechargeable Batteries,19.99,Outdoor,157.213.233.18
Alisander,3/29/2025,Garlic Parmesan Wings,8.99,Food - Frozen Foods,162.96.161.124
Verge,9/4/2024,Electric Griddle,54.99,Kitchen,130.204.217.44
Yetty,12/17/2024,Blackberry Jam,4.29,Food - Condiments,108.80.70.127
Mikkel,8/27/2024,Blue Denim Jeans,49.99,Clothing - Bottoms,210.172.170.111
Jessee,10/6/2024,Faux Fur Coat,129.99,Clothing - Coats,81.228.125.216
Joshia,5/17/2025,Raspberry Limeade,1.99,Food - Beverages,113.208.13.243
Dieter,6/1/2025,Baking Soda,0.99,Food - Baking,40.227.151.162
Kaleb,2/25/2025,Basic V-Neck T-Shirt,19.99,Clothing - Tops,167.167.206.238
Ancell,6/22/2025,Outdoor Fire Pit,149.99,Outdoor,36.8.187.11
Kenn,4/29/2025,Camera Tripod,49.99,Photography,155.100.123.88
Alis,7/28/2024,Organic Green Tea,4.29,Food - Beverages,105.182.29.39
Constantin,1/3/2025,Whole Grain Hamburger Buns,2.69,Food - Bakery,102.38.96.173
Del,2/14/2025,White Rice,1.49,Food - Grains,169.33.69.113
Drusilla,12/31/2024,Toasted Coconut Granola,4.99,Food - Breakfast,245.207.72.71
Betti,3/29/2025,Leek and Potato Soup,3.29,Food - Soups,6.216.225.216
Trevar,4/19/2025,Travel Shoe Bags Set,15.99,Travel,157.113.79.150
Fleming,10/12/2024,Carrot and Celery Sticks,2.99,Food - Produce,203.194.195.142
Lorena,9/17/2024,Vegetable Spiralizer,19.99,Kitchen,75.137.250.161
Garnet,11/24/2024,Children's Backpack,29.99,Accessories,93.85.72.4
Tracie,11/7/2024,Electric Toothbrush Holder,14.99,Health,217.120.13.220
Teddy,9/21/2024,Chicken Broth,2.49,Food - Canned Goods,72.11.104.228
Baily,7/22/2024,Spicy Vegetable Sushi Rolls,8.49,Food - Prepared Foods,245.21.192.53
